Gene_Symbol,UniProt_Accessions,Target_Names,Source_Databases,Source_Count,Source_Databases_Excluding_COMET,Source_Count_Excluding_COMET,CrossSupport_Excluding_COMET,Evidence_Tier,In_Strict_25,In_CrossPriority_22,In_Recommended_42,In_Extended_171,SwissTargetPrediction,SuperPred,PharmMapper,PPB3,COMET,PASSTargets,NetInfer,Swiss_Probability,SuperPred_Probability,SuperPred_Model_Accuracy,PharmMapper_Best_Norm_Fit,PharmMapper_Max_zscore,PPB3_Confidence_Score,COMET_Probability,PASSTargets_Max_Activity_Score,NetInfer_Score,NetInfer_Rank,Inclusion_Reason,Interpretation_Note
AMY1A,P0DUB6,Alpha-amylase 1A,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0183,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
ANG,P03950,Angiogenin,PharmMapper,1,PharmMapper,1,False,Strict,True,False,True,True,False,False,True,False,False,False,False,,,,0.9395,5.29663,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
APEX1,P27695,DNA-(apurinic or apyrimidinic site) lyase,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.9027,0.9111,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
AR,P10275,Androgen receptor;Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0571,1.83044,8,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
BACE1,P56817,Beta-secretase 1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0612,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
BCHE,P06276,Cholinesterase;Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase),NetInfer;PharmMapper,2,NetInfer;PharmMapper,2,True,CrossDatabasePriority,False,True,True,True,False,False,True,False,False,False,True,,,,0.8639,0.0800393,,,,1.15026,28,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
BCL2A1,Q16548,Bcl-2-related protein A1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0682,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
BTN3A1,O00481,Butyrophilin subfamily 3 member A1 (CD antigen CD277),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,1.26933,20,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CA1,P00915,Carbonic anhydrase 1,PharmMapper,1,PharmMapper,1,False,ExtendedPrediction,False,False,False,True,False,False,True,False,False,False,False,,,,0.9034,0.670361,,,,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CA12,O43570,Carbonic anhydrase 12,PharmMapper,1,PharmMapper,1,False,Strict,True,False,True,True,False,False,True,False,False,False,False,,,,0.9763,1.37322,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CA2,P00918,Carbonic anhydrase 2;Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II),NetInfer;PharmMapper,2,NetInfer;PharmMapper,2,True,CrossDatabasePriority,False,True,True,True,False,False,True,False,False,False,True,,,,0.7312,1.32481,,,,1.23135,23,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CA3,P07451,Carbonic anhydrase 3,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.1871,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CACNA1B,Q00975,Voltage-gated N-type calcium channel alpha-1B subunit,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8528,0.9714,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CASP1,P29466,Caspase-1;Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20;Caspase-1 subunit p10],NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0329,0.841848,39,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CASP8,Q14790,Caspase-8,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.1402,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CBX1,P83916,Chromobox protein homolog 1 (HP1Hsbeta) (Heterochromatin protein 1 homolog beta) (HP1 beta) (Heterochromatin protein p25) (M31) (Modifier 1 protein) (p25beta),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,2.46787,3,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CDK19,Q9BWU1,Cyclin-dependent kinase 19,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0807,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CDK2,P24941,Cell division protein kinase 2,PharmMapper,1,PharmMapper,1,False,ExtendedPrediction,False,False,False,True,False,False,True,False,False,False,False,,,,0.7381,1.22633,,,,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CFD,P00746,Complement factor D,PharmMapper,1,PharmMapper,1,False,ExtendedPrediction,False,False,False,True,False,False,True,False,False,False,False,,,,0.71,0.959575,,,,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CGAS,Q8N884,Cyclic GMP-AMP synthase,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.1679,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CHRM3,P20309,Muscarinic acetylcholine receptor M3,NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,0.966866,35,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CHRM5,P08912,Muscarinic acetylcholine receptor M5,NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,0.835223,40,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CHRNA10,Q9GZZ6,Neuronal acetylcholine receptor subunit alpha-10 (Nicotinic acetylcholine receptor subunit alpha-10) (NACHR alpha-10),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,1.64045,11,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CHRNA9,Q9UGM1,Neuronal acetylcholine receptor subunit alpha-9 (Nicotinic acetylcholine receptor subunit alpha-9) (NACHR alpha-9),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,1.64045,12,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CISD1,Q9NZ45,CDGSH iron-sulfur domain-containing protein 1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0533,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CNR1,P21554,Cannabinoid receptor 1 (CB-R) (CB1) (CANN6),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,1.47848,15,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CNR2,P34972,Cannabinoid CB2 receptor,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8843,0.9725,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
COMT,P21964,Catechol O-methyltransferase,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0314,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CSNK2B,P67870,Casein kinase II alpha/beta,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8302,0.9923,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CTNNB1,P35222,Catenin beta-1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.1043,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CTSB,P07858,Cathepsin B,PharmMapper,1,PharmMapper,1,False,ExtendedPrediction,False,False,False,True,False,False,True,False,False,False,False,,,,0.738,1.39803,,,,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CTSD,P07339,Cathepsin D,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8035,0.9895,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CTSV,O60911,Cathepsin L2,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.3152,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CXCR1,P25024,C-X-C chemokine receptor type 1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0573,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
DDX6,P26196,Probable ATP-dependent RNA helicase DDX6,PharmMapper,1,PharmMapper,1,False,ExtendedPrediction,False,False,False,True,False,False,True,False,False,False,False,,,,0.8677,0.338169,,,,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
DNMT1,P26358,DNA (cytosine-5)-methyltransferase 1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0879,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
DNMT3B,Q9UBC3,DNA (cytosine-5)-methyltransferase 3B,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0277,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
DPYD,Q12882,Dihydropyrimidine dehydrogenase [NADP+],PharmMapper,1,PharmMapper,1,False,ExtendedPrediction,False,False,False,True,False,False,True,False,False,False,False,,,,0.712,1.96838,,,,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
DRD1,P21728,D(1A) dopamine receptor,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.483,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
DRD2,P14416,D(2) dopamine receptor;D(2) dopamine receptor (Dopamine D2 receptor),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.134,1.18635,25,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
DRD3,P35462,D(3) dopamine receptor (Dopamine D3 receptor),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,2.58939,2,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
DRD4,P21917,D(4) dopamine receptor (D(2C) dopamine receptor) (Dopamine D4 receptor),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,0.806715,45,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
DRD5,P21918,D(1B) dopamine receptor (D(5) dopamine receptor) (D1beta dopamine receptor) (Dopamine D5 receptor),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,0.752704,49,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
EDNRB,P24530,Endothelin receptor type B,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0277,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
EIF4A1,P60842,Eukaryotic initiation factor 4A-I,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0365,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
F2,P00734,Prothrombin,PharmMapper,1,PharmMapper,1,False,ExtendedPrediction,False,False,False,True,False,False,True,False,False,False,False,,,,0.7429,1.3435,,,,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
F2R,P25116,Proteinase-activated receptor 1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.1169,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
FDPS,P14324,Farnesyl pyrophosphate synthase,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0023,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
FHIT,P49789,Bis(5'-adenosyl)-triphosphatase,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0849,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GAA,P10253,Lysosomal alpha-glucosidase,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0376,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GLO1,Q04760,Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,1.38483,18,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GLRA1,P23415,Glycine receptor subunit alpha-1;Glycine receptor subunit alpha-1 (Glycine receptor 48 kDa subunit) (Glycine receptor strychnine-binding subunit),COMET;NetInfer;PASSTargets;SwissTargetPrediction,4,NetInfer;PASSTargets;SwissTargetPrediction,3,True,Strict_and_CrossSupported,True,True,True,True,True,False,False,False,True,True,True,0.9285033668861793,,,,,,0.0003326099831610918,0.3681,0.81402,43,Meets a strict predictor rule and appears in at least two selected sources,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GLRA2,P23416,Glycine receptor subunit alpha-2,COMET;SwissTargetPrediction,2,SwissTargetPrediction,1,False,Strict_and_CrossSupported,True,True,True,True,True,False,False,False,True,False,False,0.9281293277882243,,,,,,0.00024307151034008712,,,,Meets a strict predictor rule and appears in at least two selected sources,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GPBAR1,Q8TDU6,G-protein coupled bile acid receptor 1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0863,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GPR18,Q14330,N-arachidonyl glycine receptor (NAGly receptor) (G-protein coupled receptor 18),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,0.960422,36,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GPR32,O75388,Probable G-protein coupled receptor 32,NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,0.97903,34,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GPR55,Q9Y2T6,G-protein coupled receptor 55,NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,2.18895,5,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GSR,P00390,Glutathione reductase;mitochondrial,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.5345,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GSTP1,P09211,Glutathione S-transferase P,PharmMapper,1,PharmMapper,1,False,ExtendedPrediction,False,False,False,True,False,False,True,False,False,False,False,,,,0.9107,0.621126,,,,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GUSB,P08236,Beta-glucuronidase,SwissTargetPrediction,1,SwissTargetPrediction,1,False,Strict,True,False,True,True,True,False,False,False,False,False,False,0.9273758288310694,,,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
HIF1A,Q16665,Hypoxia-inducible factor 1 alpha,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8358,0.8514,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
HMGCR,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase;3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0365,1.60169,13,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
HSD17B10,Q99714,Endoplasmic reticulum-associated amyloid beta-peptide-binding protein,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.4,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
HSP90AA1,P07900,Heat shock protein HSP 90-alpha,PASSTargets;PharmMapper,2,PASSTargets;PharmMapper,2,True,CrossDatabasePriority,False,True,True,True,False,False,True,False,False,True,False,,,,0.8427,0.166984,,,0.0359,,,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
IL2,P60568,Interleukin-2,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0778,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
INPPL1,O15357,4;5-trisphosphate 5-phosphatase 2;Phosphatidylinositol 3,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0153,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
KCNA3,P22001,Potassium voltage-gated channel subfamily A member 3,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0169,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
KCNH2,Q12809,Potassium voltage-gated channel subfamily H member 2 (Eag homolog) (Ether-a-go-go-related gene potassium channel 1) (ERG-1) (Eag-related protein 1) (Ether-a-go-go-related protein 1) (H-ERG) (hERG-1) (hERG1) (Voltage-gated potassium channel subunit Kv11.1),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,1.20138,24,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
KCNJ11,Q14654,Kir6.2;Sulfonylurea receptor 2,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0488,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
KLF5,Q13887,Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,1.1595,27,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
LGALS7,P47929,Galectin-7,PharmMapper,1,PharmMapper,1,False,ExtendedPrediction,False,False,False,True,False,False,True,False,False,False,False,,,,0.7099,1.05983,,,,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
LGALS7B,P47929,Galectin-7,PharmMapper,1,PharmMapper,1,False,ExtendedPrediction,False,False,False,True,False,False,True,False,False,False,False,,,,0.7099,1.05983,,,,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
LGALS8,O00214,Galectin-8,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0119,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
LMNA,P02545,Prelamin-A/C,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.35,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
LPAR3,Q9UBY5,Lysophosphatidic acid receptor 3 (LPA receptor 3) (LPA-3) (Lysophosphatidic acid receptor Edg-7),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,0.878707,38,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
