"Prediction_Source","Source_File","Source_Row","Pharma_Model","PDB_ID","Num_Feature","Fit","Norm_Fit","zscore","Target_Name_Raw","UniProt_Field_Raw","Class_Raw","Function_Raw","Disease_Raw","Indication_Raw","Mapping_Method","Mapping_Status","Gene_Symbol","UniProt_accession","UniProt_entry_name","UniProt_reviewed","Species","TaxID","Protein_Name_UniProt","Is_Human","Meets_Strict","Meets_Relaxed","Meets_Exploratory","Compound","PubChem_CID","Processing_Date"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","13","1cb0_v","1CB0","3","2.735","0.9116","0.707287","S-methyl-5-thioadenosine phosphorylase","Q13126","NONE","Nucleotide transport and metabolism","NONE","For nutritional supplementation, also for treating dietary shortage or imbalance","UniProt_field","mapped","MTAP","Q13126","MTAP_HUMAN","reviewed","Homo sapiens (Human)","9606","S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase)","TRUE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","14","1md3_v","1MD3","3","2.732","0.9107","0.621126","Glutathione S-transferase P","GSTP1_HUMAN","TRANSFERASE","Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles.","NONE","NONE","UniProt_field","mapped","GSTP1","P09211","GSTP1_HUMAN","reviewed","Homo sapiens (Human)","9606","Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)","TRUE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","15","2nmx_v","2NMX","3","2.71","0.9034","0.670361","Carbonic anhydrase 1","CAH1_HUMAN","LYASE","Reversible hydration of carbon dioxide.","NONE","NONE","UniProt_field","mapped","CA1","P00915","CAH1_HUMAN","reviewed","Homo sapiens (Human)","9606","Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase I) (Carbonic anhydrase B) (CAB) (Carbonic anhydrase I) (CA-I) (Cyanamide hydratase CA1) (EC 4.2.1.69)","TRUE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","16","1aur_v","1AUR","3","2.698","0.8994","0.630148","Carboxylesterase 2","Q53547","NONE","Hydrolyzes carboxylic ester bonds with relatively broad substrate specificity","NONE","NONE","UniProt_field","mapped","estB","Q53547","EST2_PSEFL","reviewed","Pseudomonas fluorescens","294","Carboxylesterase 2 (EC 3.1.1.1) (Esterase II)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","17","1v0h_v","1V0H","4","3.584","0.896","3.5802","Ascorbate peroxidase","Q43758","NONE","Involved in peroxidase activity","NONE","Used to treat vitamin C deficiency, scurvy, delayed wound and bone healing, urine acidification, and in general as an antioxidant. It has also been suggested to be an effective antiviral agent.","UniProt_field","mapped","apx1","Q43758","Q43758_SOYBN","unreviewed","Glycine max (Soybean) (Glycine hispida)","3847","L-ascorbate peroxidase (EC 1.11.1.11)","FALSE","FALSE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","18","1h3j_v","1H3J","3","2.639","0.8796","0.398369","Peroxidase","P28314","NONE","Involved in peroxidase activity","NONE","NONE","UniProt_field","mapped","CIP1","P28314","PER_COPCI","reviewed","Coprinopsis cinerea (Inky cap fungus) (Hormographiella aspergillata)","5346","Peroxidase (EC 1.11.1.7)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","19","1w8m_v","1W8M","3","2.637","0.8791","0.262631","Peptidyl-prolyl cis-trans isomerase A","P62937","NONE","Posttranslational modification, protein turnover, chaperones","NONE","For treatment of transplant rejection, rheumatoid arthritis, severe psoriasis","UniProt_field","mapped","PPIA","P62937","PPIA_HUMAN","reviewed","Homo sapiens (Human)","9606","Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]","TRUE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","20","1va4_v","1VA4","3","2.596","0.8652","0.270287","Arylesterase","P22862","NONE","Bifunctional enzyme, capable of both ester hydrolysis and halogenation. Has a low bromoperoxidase activity. Acts on many phenolic esters.","NONE","NONE","UniProt_field","mapped","estF","P22862","ESTE_PSEFL","reviewed","Pseudomonas fluorescens","294","Arylesterase (EC 3.1.1.2) (Aryl-ester hydrolase) (Carboxylic acid perhydrolase) (PFE) (Putative bromoperoxidase) (EC 1.-.-.-)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","21","1p0i_v","1P0I","3","2.592","0.8639","0.0800393","Cholinesterase","CHLE_HUMAN","HYDROLASE","NONE","Defects in BCHE are the cause of butyrylcholinesterase deficiency (BChE deficiency) [MIM:177400]. BChE deficiency is a metabolic disorder characterized by prolonged apnoea after the use of certain anesthetic drugs, including the muscle relaxants succinylcholine or mivacurium and other ester local anesthetics. The duration of the prolonged apnoea varies significantly depending on the extent of the enzyme deficiency. BChE deficiency is a multifactorial disorder. The hereditary condition is transmitted as an autosomal recessive trait.","Neurotoxicity, drug-induced;Toxicity;Alzheimers disease","UniProt_field","mapped","BCHE","P06276","CHLE_HUMAN","reviewed","Homo sapiens (Human)","9606","Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase)","TRUE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","22","1wom_v","1WOM","3","2.584","0.8612","0.230223","Sigma factor sigB regulation protein rsbQ","O07015","NONE","Involved in hydrolase activity","NONE","NONE","UniProt_field","mapped","rsbQ","O07015","RSBQ_BACSU","reviewed","Bacillus subtilis (strain 168)","224308","Sigma factor SigB regulation protein RsbQ","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","23","1rcj_v","1RCJ","4","3.437","0.8592","1.74043","Beta-lactamase SHV-1","P0AD64","NONE","NONE","NONE","NONE","UniProt_field","mapped","bla","P0AD64","BLA1_KLEPN","reviewed","Klebsiella pneumoniae","573","Beta-lactamase SHV-1 (EC 3.5.2.6) (PIT-2) (Sulfhydryl reagent variable 1)","FALSE","FALSE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","24","3bls_v","3BLS","3","2.556","0.8519","0.0811501","Beta-lactamase","AMPC_ECOLI","CEPHALOSPORINASE","This protein is a serine beta-lactamase with a substrate specificity for cephalosporins.","NONE","NONE","UniProt_field","mapped","ampC","P00811","AMPC_ECOLI","reviewed","Escherichia coli (strain K12)","83333","Beta-lactamase (EC 3.5.2.6) (Cephalosporinase) (CSase)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","25","1xzz_v","1XZZ","3","2.538","0.8461","0.222365","Inositol 1,4,5-trisphosphate receptor type 1","P11881","NONE","Intracellular channel that mediates calcium release from the endoplasmic reticulum following stimulation by inositol 1,4,5-trisphosphate. Involved in the regulation of epithelial secretion of electrolytes and fluid through the interaction with AHCYL1 (PubMed:23542070). Plays a role in ER stress-induced apoptosis. Cytoplasmic calcium released from the ER triggers apoptosis by the activation of CaM kinase II, eventually leading to the activation of downstream apoptosis pathways.","NONE","NONE","UniProt_field","mapped","Itpr1","P11881","ITPR1_MOUSE","reviewed","Mus musculus (Mouse)","10090","Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1 (IP3 receptor isoform 1) (IP3R 1) (InsP3R1) (Inositol 1,4,5 trisphosphate receptor) (Inositol 1,4,5-trisphosphate receptor type 1) (Inositol 1,4,5-trisphosphate-binding protein P400) (Protein PCD-6) (Purkinje cell protein 1) (Type 1 inositol 1,4,5-trisphosphate receptor) (Type 1 InsP3 receptor)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","26","1req_v","1REQ","3","2.53","0.8433","-0.0329841","Methylmalonyl-CoA mutase large subunit","P11653","NONE","Catalyzes the isomerization of succinyl-CoA to methylmalonyl-CoA during synthesis of propionate from tricarboxylic acid-cycle intermediates.","NONE","NONE","UniProt_field","mapped","mutB","P11653","MUTB_PROFR","reviewed","Propionibacterium freudenreichii subsp. shermanii","1752","Methylmalonyl-CoA mutase large subunit (EC 5.4.99.2) (MCM-alpha)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","27","3eko_v","3EKO","3","2.528","0.8427","0.166984","Heat shock protein HSP 90-alpha","P07900","NONE","Posttranslational modification, protein turnover, chaperones","NONE","For the prevention of disseminated <i>Mycobacterium avium</i> complex (MAC) disease in patients with advanced HIV infection.","UniProt_field","mapped","HSP90AA1","P07900","HS90A_HUMAN","reviewed","Homo sapiens (Human)","9606","Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa) (HSP 86) (HSP86) (Heat shock protein family C member 1) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38)","TRUE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","28","1q9b_v","1Q9B","3","2.517","0.8391","0.152156","Pro-hevein","P02877","NONE","N-acetyl-D-glucosamine / N-acetyl-D-neuraminic acid binding lectin. Can inhibit fungal growth.","NONE","NONE","UniProt_field","mapped","HEV1","P02877","HEVE_HEVBR","reviewed","Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)","3981","Pro-hevein (Major hevein) [Cleaved into: Hevein; Win-like protein]","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","29","1kme_v","1KME","3","2.516","0.8387","0.219907","Bacteriorhodopsin","P02945","NONE","Involved in ion channel activity","NONE","NONE","UniProt_field","mapped","bop","P02945","BACR_HALSA","reviewed","Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium)","64091","Bacteriorhodopsin (BR) (Bacterioopsin) (BO)","FALSE","FALSE","FALSE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","30","1sr0_v","1SR0","3","2.486","0.8286","-0.188827","Chitinase-3-like protein 1","Q6TMG6","NONE","Involved in chitinase activity","NONE","NONE","UniProt_field","mapped","CHI3L1","Q6TMG6","CH3L1_SHEEP","reviewed","Ovis aries (Sheep)","9940","Chitinase-3-like protein 1 (Secretory glycoprotein of 40 kDa) (Signal-processing protein)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","31","1rzp_v","1RZP","3","2.477","0.8255","-0.174682","Copper-containing nitrite reductase","P25006","NONE","Secondary metabolites biosynthesis, transport and catabolism","NONE","NONE","UniProt_field","mapped","nirK","P25006","NIR_ACHCY","reviewed","Achromobacter cycloclastes","223","Copper-containing nitrite reductase (EC 1.7.2.1) (Cu-NIR)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","32","1q8m_v","1Q8M","3","2.355","0.7849","-0.292773","Triggering receptor expressed on myeloid cells 1","Q9NP99","NONE","Involved in immune triggering activity","NONE","For nutritional supplementation, also for treating dietary shortage or imbalance","UniProt_field","mapped","TREM1","Q9NP99","TREM1_HUMAN","reviewed","Homo sapiens (Human)","9606","Triggering receptor expressed on myeloid cells 1 (TREM-1) (Triggering receptor expressed on monocytes 1) (CD antigen CD354)","TRUE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","33","1gx2_v","1GX2","3","2.347","0.7825","-0.430776","Peroxidase C1A","P00433","NONE","Involved in peroxidase activity","NONE","NONE","UniProt_field","mapped","PRXC1A","P00433","PER1A_ARMRU","reviewed","Armoracia rusticana (Horseradish) (Armoracia laphatifolia)","3704","Peroxidase C1A (EC 1.11.1.7)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","34","1lyw_v","1LYW","3","2.328","0.7761","-0.478405","Cathepsin D","CATD_HUMAN","ASPARTIC PROTEASE","Acid protease active in intracellular protein breakdown. Involved in the pathogenesis of several diseases such as breast cancer and possibly Alzheimer disease.","Defects in CTSD are the cause of neuronal ceroid lipofuscinosis 10 (CLN10) [MIM:610127]; also known as neuronal ceroid lipofuscinosis due to cathepsin D deficiency. The neuronal ceroid lipofuscinosis are a group of progressive neurodegenerative diseases in children and in adults, characterized by visual and mental decline, motor disturbance, epilepsy and behavioral changes.","NONE","UniProt_field","mapped","CTSD","P07339","CATD_HUMAN","reviewed","Homo sapiens (Human)","9606","Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]","TRUE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","35","1jd0_v","1JD0","3","2.31","0.7701","-0.494913","Carbonic anhydrase 12","CAH12_HUMAN","LYASE","Reversible hydration of carbon dioxide.","NONE","NONE","UniProt_field","mapped","CA12","O43570","CAH12_HUMAN","reviewed","Homo sapiens (Human)","9606","Carbonic anhydrase 12 (EC 4.2.1.1) (Carbonate dehydratase XII) (Carbonic anhydrase XII) (CA-XII) (Tumor antigen HOM-RCC-3.1.3)","TRUE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","36","1xmx_v","1XMX","3","2.292","0.7638","-0.351618","Hypothetical protein VC1899","Q9KQU9","NONE","NONE","NONE","NONE","UniProt_field","mapped","","Q9KQU9","Q9KQU9_VIBCH","unreviewed","Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)","243277","Card1 endonuclease domain-containing protein","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","37","1if2_v","1IF2","5","3.753","0.7506","3.99657","Triosephosphate isomerase","P48499","NONE","Carbohydrate transport and metabolism","NONE","NONE","UniProt_field","mapped","","P48499","TPIS_LEIME","reviewed","Leishmania mexicana","5665","Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)","FALSE","FALSE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","38","1yw1_v","1YW1","5","3.747","0.7494","3.9246","Putative monooxygenase moxC","O34974","NONE","Energy production and conversion","NONE","NONE","UniProt_field","mapped","cmoJ","O34974","CMOJ_BACSU","reviewed","Bacillus subtilis (strain 168)","224308","N-acetyl-S-alkylcysteine sulfoxide monooxygenase (EC 1.14.14.-) (N-acetyl-S-alkylcysteine sulfoxide lyase)","FALSE","FALSE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","39","1vhz_v","1VHZ","3","2.238","0.7459","-0.744484","ADP compounds hydrolase nudE","P45799","NONE","Involved in hydrolase activity","NONE","NONE","UniProt_field","mapped","nudE","P45799","NUDE_ECOLI","reviewed","Escherichia coli (strain K12)","83333","ADP compounds hydrolase NudE (EC 3.6.1.-)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","40","1c5o_v","1C5O","4","2.972","0.7429","1.3435","Prothrombin","THRB_HUMAN","BLOOD CLOTTING","Thrombin, which cleaves bonds after Arg and Lys, converts fibrinogen to fibrin and activates factors V, VII, VIII, XIII, and, in complex with thrombomodulin, protein C. Functions in blood homeostasis, inflammation and wound healing.","Defects in F2 are the cause of various forms of dysprothrombinemia [MIM:176930].;Genetic variations in F2 may be a cause of susceptibility to ischemic stroke [MIM:601367]; also known as cerebrovascular accident or cerebral infarction. A stroke is an acute neurologic event leading to death of neural tissue of the brain and resulting in loss of motor, sensory and/or cognitive function. Ischemic strokes, resulting from vascular occlusion, is considered to be a highly complex disease consisting of a group of heterogeneous disorders with multiple genetic and environmental risk factors.","Deep vein thrombosis;Thrombocytopenia;Cerebrovascular disease;Wound healing;Ebola virus infection;Bone injury;Cerebrovascular ischemia;Restenosis;Thrombosis;Diabetic foot ulcer;Ischemic heart disease;Marburg virus infection;Myocardial disease;Embolism and thrombosis;Myocardial infarction;Cartilage disease;Thromboembolism;Coronary artery disease;Hemophilia;Blood clotting disorder;Bleeding;Atrial fibrillation;Skin burns;Disseminated intravascular coagulation;Connective tissue disease;Lung embolism;Cardiovascular disease;Sepsis;Angina;Infarction","UniProt_field","mapped","F2","P00734","THRB_HUMAN","reviewed","Homo sapiens (Human)","9606","Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]","TRUE","FALSE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","41","1pq9_v","1PQ9","3","2.227","0.7424","-0.932072","Oxysterols receptor LXR-beta","NR1H2_HUMAN","TRANSCRIPTION REGULATION","Orphan receptor. Binds preferentially to double-stranded oligonucleotide direct repeats having the consensus half-site sequence 5-AGGTCA-3 and 4-nt spacing (DR-4).","NONE","Lipid metabolism disorder;Atherosclerosis","UniProt_field","mapped","NR1H2","P55055","NR1H2_HUMAN","reviewed","Homo sapiens (Human)","9606","Oxysterols receptor LXR-beta (Liver X receptor beta) (Nuclear receptor NER) (Nuclear receptor subfamily 1 group H member 2) (Ubiquitously-expressed nuclear receptor)","TRUE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","42","1jsv_v","1JSV","4","2.952","0.7381","1.22633","Cell division protein kinase 2","P24941","NONE","Involved in protein kinase activity","NONE","NONE","UniProt_field","mapped","CDK2","P24941","CDK2_HUMAN","reviewed","Homo sapiens (Human)","9606","Cyclin-dependent kinase 2 (EC 2.7.11.22) (Cell division protein kinase 2) (p33 protein kinase)","TRUE","FALSE","TRUE","TRUE","Bilobalide","73581","2026-07-11"
